ID,Start time,Completion time,Email,Name,Last modified time,"What year level are you in?
",How long does it take you to travel to school (one way)?,How do you usually get to school?,How many people are in your family (including yourself)?,Which type of learning activities do you tend to enjoy most?,Which language are you currently studying (or have studied the longest)?,What grade do you usually achieve overall?,When do you usually complete your homework?,How do you usually study?,"When preparing for assessments, you usually:",What type of homework do you find most useful?,"On average, how many hours per day do you spend on your phone?","On average, how many hours per week do you spend on social media/messages/gaming?",Do you think you spend more time on social media than you should?,How often do you use AI to help with homework?,What do you mainly use your device for during a school week?,How comfortable are you using new technology tools?,Would you trust Linewize with your Trinity password?,How many hours of sleep do you get on a typical school night?,What time of day are you most productive?,How many days per week do you participate in physical activity?,Which sport do you participate in after school? (Select all that apply),How many extracurricular commitments do you have per week?,"On weekends, you mostly spend your time:",How do you prefer to receive instructions?,"When working on a difficult problem, you usually:",How organised do you consider yourself?,"When given a long-term project, you usually:",Do you prefer structure or flexibility in tasks?,Group projects or solo work?,Where do you usually spend lunchtime?,Which co-curricular area interests you most?,Which house event do you enjoy the most?,Pineapple on pizza?,Dogs or cats?,What type of music do you listen to most?,Do you prefer working in silence or with background noise?,How many languages can you speak confidently?,Which of the following is a berry?,"What year level are you in?
2"
107,2/27/26 10:38:31,2/27/26 10:47:01,anonymous,,,Year 9,31–60 minutes,Tram/Train,4-5,Reading and writing,Chinese,B,After school,Independently,Focus closer to the assessment date,Practice questions,0–2 hours,6–10 hours,Yes,Sometimes,School work,Neutral,Yes,8-9 hours,During school,3-4,Rugby;Touch Football;,1-2,Socialising,Written steps,Ask a friend,Somewhat organised,Start immediately,Strong structure,Depends on the task,Oval,Drama,HPAF,No,Cats,Rap/Hip-hop,Music,1,Banana,Year 9
108,2/27/26 10:38:39,2/27/26 10:47:01,anonymous,,,Year 9,31–60 minutes,Car,1-3,Problem-solving and calculations,French,A+,After school,With a tutor/teacher,Prepare gradually,Practice questions,0–2 hours,0–5 hours,No,Often,School work,Very comfortable,No,8-9 hours,After school,7,Rowing;,7+,Studying,Demonstration/example,Search online,Somewhat organised,Start early,Some structure,Depends on the task,Library,Sport,Swimming,Yes,Dogs,Other,Complete silence,2,Strawberry,Year 9
109,2/27/26 10:41:47,2/27/26 10:47:05,anonymous,,,Year 9,31–60 minutes,Tram/Train,1-3,Problem-solving and calculations,Chinese,A,After school,Independently,Start early and plan,Practice questions,0–2 hours,6–10 hours,No,Rarely,Gaming,Very comfortable,No,8-9 hours,After school,7,Cross Country;Rowing;Basketball;,5-6,Gaming,Demonstration/example,Ask a friend,Very organised,Start early,Strong structure,Depends on the task,Oval,Sport,Cross Country,Yes,Dogs,Other,Complete silence,1,Banana,Year 9
110,2/27/26 10:40:39,2/27/26 10:47:08,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Physical activity and movement,Not studying a language,B,After school,Independently,Start early and plan,Revision summaries,0–2 hours,0–5 hours,No,Rarely,School work,Neutral,No,7-8 hours,After school,3-4,Football;Touch Football;,0,Sport,Video,Ask a teacher,Neutral,Start early,Balanced,Solo work,Oval,Sport,Swimming,No,Cats,Other,Quiet background noise,1,Banana,Year 9
111,2/27/26 10:40:02,2/27/26 10:47:13,anonymous,,,Year 9,15–30 minutes,Car,1-3,Physical activity and movement,French,B,After school,Independently,Start early and plan,All equally useful,3–4 hours,11–20 hours,Yes,Sometimes,School work,Comfortable,Yes,7-8 hours,During school,3-4,Soccer;,3-4,Sport,Written steps,Ask a teacher,Somewhat organised,Start immediately,Balanced,Depends on the task,Oval,Sport,HPAF,No,Dogs,Rap/Hip-hop,Quiet background noise,2,Strawberry,Year 9
112,2/27/26 10:38:52,2/27/26 10:47:17,anonymous,,,Year 9,31–60 minutes,Car,4-5,Technology and coding,French,A+,Late at night,Independently,Do a quick review before the assessment,Practice questions,0–2 hours,6–10 hours,No,Sometimes,School work,Very comfortable,No,6-7 hours,After school,3-4,Tennis;,1-2,Creative hobbies,Video,Take a break and return later,Very disorganised,Start close to the deadline,Some structure,Depends on the task,Clubs/Activities,Clubs/Societies,Athletics Carnival,Yes,Dogs,Other,Quiet background noise,3,Banana,Year 9
113,2/27/26 10:41:19,2/27/26 10:47:28,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Problem-solving and calculations,French,A,After school,Independently,Prepare gradually,Practice questions,5–6 hours,0–5 hours,Yes,Sometimes,Communication,Neutral,No,7-8 hours,After school,3-4,Basketball;,1-2,Sport,Verbal explanation,Keep trying independently,Somewhat disorganised,Start halfway,Some structure,Solo work,Oval,Sport,Athletics Carnival,Yes,Dogs,Other,Quiet background noise,1,Banana,Year 9
114,2/27/26 10:40:52,2/27/26 10:47:28,anonymous,,,Year 9,15–30 minutes,Tram/Train,1-3,Business and real-world applications,Chinese,C,Late at night,Independently,Focus closer to the assessment date,Project-based tasks,7–8 hours,36+ hours,Yes,Sometimes,Entertainment,Neutral,No,7-8 hours,After school,7,Soccer;,3-4,Socialising,Demonstration/example,Search online,Somewhat organised,Start close to the deadline,Very flexible,Group projects,Senior School Quad,Sport,None,Yes,Dogs,Rap/Hip-hop,Music,1,Banana,Year 9
115,2/27/26 10:39:31,2/27/26 10:47:28,anonymous,,,Year 9,15–30 minutes,Tram/Train,8+,Technology and coding,Chinese,A,After school,Independently,Do a quick review before the assessment,Practice questions,0–2 hours,6–10 hours,Not sure,Rarely,School work,Very comfortable,No,7-8 hours,During school,3-4,Badminton;,5-6,Creative hobbies,Video,Ask a friend,Neutral,Start halfway,Flexible,Group projects,Clubs/Activities,Clubs/Societies,HPAF,No,Dogs,Other,Music,2,Banana,Year 9
116,2/27/26 10:40:24,2/27/26 10:47:36,anonymous,,,Year 9,15–30 minutes,Car,4-5,Physical activity and movement,French,A,After school,Independently,Prepare gradually,All equally useful,0–2 hours,0–5 hours,No,Sometimes,School work,Comfortable,Yes,9+ hours,During school,7,Cricket;Football;,3-4,Sport,Verbal explanation,Ask a teacher,Somewhat organised,Start immediately,Balanced,Group projects,Library,Sport,Cross Country,No,Dogs,Pop,Quiet background noise,1,Strawberry,Year 9
117,2/27/26 10:40:20,2/27/26 10:47:47,anonymous,,,Year 9,15–30 minutes,Car,4-5,Physical activity and movement,French,A,After school,Independently,Start early and plan,All equally useful,3–4 hours,21–35 hours,No,Often,Entertainment,Comfortable,No,8-9 hours,Late at night,5-6,Basketball;Soccer;,1-2,Sport,Written steps,Ask a teacher,Somewhat organised,Start immediately,Balanced,Depends on the task,Oval,Sport,Athletics Carnival,No,Dogs,Rap/Hip-hop,Complete silence,1,Brocoli,Year 9
118,2/27/26 10:40:56,2/27/26 10:47:47,anonymous,,,Year 9,15–30 minutes,Tram/Train,4-5,Business and real-world applications,Not studying a language,C,During school,Independently,Do a quick review before the assessment,All equally useful,3–4 hours,21–35 hours,No,Very often,Communication,Very comfortable,No,6-7 hours,Late at night,5-6,Basketball;Rugby;Football;,3-4,Socialising,Written steps,Search online,Neutral,Start halfway,Balanced,Group projects,Oval,Sport,HPAF,Yes,Dogs,R&B,Music,1,Banana,Year 9
119,2/27/26 10:43:03,2/27/26 10:47:48,anonymous,,,Year 9,Under 15 minutes,Tram/Train,6-7,Problem-solving and calculations,Latin,A+,After school,Independently,Prepare gradually,All equally useful,0–2 hours,6–10 hours,No,Rarely,Entertainment,Very comfortable,No,9+ hours,After school,3-4,Volleyball;Badminton;,1-2,Creative hobbies,Figure it out myself,Search online,Somewhat organised,Start halfway,Some structure,Depends on the task,Library,Sport,Athletics Carnival,No,Cats,Rap/Hip-hop,Quiet background noise,2,Banana,Year 9
120,2/27/26 10:43:34,2/27/26 10:47:48,anonymous,,,Year 9,15–30 minutes,Car,4-5,Experiments and investigations,Not studying a language,A,Late at night,Independently,Do a quick review before the assessment,Project-based tasks,3–4 hours,6–10 hours,No,Sometimes,Social media,Very comfortable,No,8-9 hours,Late at night,3-4,Volleyball;,3-4,Studying,Figure it out myself,Ask a friend,Somewhat organised,Start early,Very flexible,Group projects,Clubs/Activities,Clubs/Societies,None,No,Dogs,K-pop,Complete silence,2,Banana,Year 9
121,2/27/26 10:40:38,2/27/26 10:47:56,anonymous,,,Year 9,15–30 minutes,Walk,1-3,Technology and coding,Chinese,A,After school,Independently,Do a quick review before the assessment,Project-based tasks,0–2 hours,6–10 hours,Not sure,Rarely,School work,Comfortable,No,7-8 hours,After school,3-4,Table Tennis;,1-2,Gaming,Written steps,Search online,Somewhat organised,Start early,Balanced,Group projects,Library,Clubs/Societies,None,Yes,Cats,Other,Quiet background noise,2,Not sure,Year 9
122,2/27/26 10:42:27,2/27/26 10:47:57,anonymous,,,Year 9,Under 15 minutes,Car,1-3,Experiments and investigations,Chinese,A,Late at night,Independently,Do a quick review before the assessment,Practice questions,5–6 hours,11–20 hours,Yes,Sometimes,School work,Very comfortable,No,9+ hours,During school,3-4,Table Tennis;,5-6,Socialising,Verbal explanation,Search online,Somewhat organised,Start close to the deadline,Some structure,Group projects,Library,Music,Swimming,No,Dogs,Country,Music,2,Strawberry,Year 9
123,2/27/26 10:42:51,2/27/26 10:48:03,anonymous,,,Year 9,15–30 minutes,Car,4-5,Experiments and investigations,Chinese,B,During school,Independently,Focus closer to the assessment date,All equally useful,3–4 hours,21–35 hours,Not sure,Sometimes,School work,Very comfortable,No,7-8 hours,During school,1-2,Tennis;,3-4,Gaming,Demonstration/example,Ask a teacher,Somewhat disorganised,Start halfway,Balanced,Depends on the task,Library,Music,HPAF,Yes,Cats,Other,Music,2,Strawberry,Year 9
124,2/27/26 10:40:54,2/27/26 10:48:04,anonymous,,,Year 9,15–30 minutes,Car,4-5,Business and real-world applications,French,A,After school,Independently,Start early and plan,Revision summaries,0–2 hours,0–5 hours,No,Never,School work,Comfortable,No,9+ hours,After school,5-6,Rowing;,1-2,Socialising,Demonstration/example,Ask a teacher,Somewhat organised,Start early,Strong structure,Solo work,Senior School Quad,Sport,Athletics Carnival,No,Dogs,Rap/Hip-hop,Complete silence,3,Strawberry,Year 9
125,2/27/26 10:44:25,2/27/26 10:48:07,anonymous,,,Year 9,15–30 minutes,Car,4-5,Problem-solving and calculations,French,A,Late at night,Independently,Prepare gradually,All equally useful,0–2 hours,0–5 hours,No,Sometimes,School work,Comfortable,Not sure,7-8 hours,After school,1-2,Basketball;Badminton;,3-4,Family time,Demonstration/example,Take a break and return later,Somewhat organised,Start early,Balanced,Depends on the task,Library,Music,HPAF,Yes,Cats,Other,Quiet background noise,2,Banana,Year 9
126,2/27/26 10:42:29,2/27/26 10:48:10,anonymous,,,Year 9,15–30 minutes,Tram/Train,4-5,Physical activity and movement,French,A,After school,Independently,Focus closer to the assessment date,All equally useful,0–2 hours,0–5 hours,No,Sometimes,School work,Very comfortable,No,8-9 hours,After school,7,Rowing;Football;,5-6,Sport,Written steps,Take a break and return later,Somewhat organised,Start halfway,Balanced,Group projects,Gym,Sport,Athletics Carnival,Yes,Dogs,Rap/Hip-hop,Music,1,Strawberry,Year 9
127,2/27/26 10:41:36,2/27/26 10:48:10,anonymous,,,Year 9,15–30 minutes,Car,4-5,Problem-solving and calculations,German,B,After school,Independently,Prepare gradually,Reading,0–2 hours,6–10 hours,No,Rarely,School work,Neutral,Not sure,8-9 hours,During school,3-4,Archery;Hockey;,3-4,Family time,Demonstration/example,Ask a teacher,Neutral,Start early,Balanced,Depends on the task,Library,Music,HPAF,Yes,Cats,Other,Music,1,Brocoli,Year 9
128,2/27/26 10:43:50,2/27/26 10:48:17,anonymous,,,Year 9,15–30 minutes,Tram/Train,4-5,Business and real-world applications,Not studying a language,A,After school,Independently,Focus closer to the assessment date,Practice questions,3–4 hours,6–10 hours,Not sure,Sometimes,School work,Comfortable,No,8-9 hours,During school,5-6,Rowing;Football;,1-2,Sport,Demonstration/example,Ask a teacher,Neutral,Start halfway,Balanced,Group projects,Oval,Sport,HPAF,Yes,Dogs,Rap/Hip-hop,Music,1,Strawberry,Year 9
129,2/27/26 10:40:19,2/27/26 10:48:17,anonymous,,,Year 9,15–30 minutes,Bus,4-5,Physical activity and movement,Chinese,A,Late at night,Independently,Do a quick review before the assessment,Project-based tasks,7–8 hours,11–20 hours,Not sure,Sometimes,School work,Comfortable,No,7-8 hours,Late at night,5-6,Cricket;Competitive Swimming;,7+,Socialising,Written steps,Keep trying independently,Neutral,Start close to the deadline,Very flexible,Group projects,Library,Music,Swimming,No,Dogs,Rock,Music,1,Banana,Year 9
130,2/27/26 10:41:36,2/27/26 10:48:18,anonymous,,,Year 9,31–60 minutes,Car,4-5,Physical activity and movement,Latin,A+,During school,Independently,Do a quick review before the assessment,Practice questions,0–2 hours,0–5 hours,No,Often,School work,Comfortable,Yes,8-9 hours,During school,3-4,Volleyball;,7+,Studying,Demonstration/example,Search online,Somewhat organised,Start early,Some structure,Group projects,Library,Sport,HPAF,Yes,Dogs,Rock,Busy environment,2,Brocoli,Year 9
131,2/27/26 10:39:57,2/27/26 10:48:19,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Physical activity and movement,French,B,Late at night,Independently,Focus closer to the assessment date,Practice questions,5–6 hours,11–20 hours,Yes,Sometimes,School work,Very comfortable,No,7-8 hours,Late at night,5-6,Basketball;Soccer;,1-2,Sport,Written steps,Ask a friend,Neutral,Start halfway,Balanced,Group projects,Batson Quad,Sport,HPAF,No,Dogs,Rap/Hip-hop,Music,2,Banana,Year 9
132,2/27/26 10:44:30,2/27/26 10:48:21,anonymous,,,Year 9,31–60 minutes,Tram/Train,4-5,Experiments and investigations,German,A,After school,Independently,Do a quick review before the assessment,All equally useful,3–4 hours,11–20 hours,No,Rarely,School work,Neutral,No,8-9 hours,During school,3-4,Basketball;,3-4,Socialising,Written steps,Take a break and return later,Somewhat disorganised,Start halfway,Flexible,Solo work,Clubs/Activities,Clubs/Societies,HPAF,No,Cats,Other,Music,2,Strawberry,Year 9
133,2/27/26 10:42:51,2/27/26 10:48:22,anonymous,,,Year 9,Under 15 minutes,Car,1-3,Physical activity and movement,Chinese,A+,Late at night,Independently,Prepare gradually,All equally useful,3–4 hours,11–20 hours,Not sure,Rarely,School work,Neutral,No,7-8 hours,After school,5-6,Competitive Swimming;,1-2,Socialising,Demonstration/example,Ask a friend,Somewhat organised,Start early,Balanced,Solo work,Library,Sport,Swimming,No,Cats,R&B,Music,2,Banana,Year 9
134,2/27/26 10:41:38,2/27/26 10:48:24,anonymous,,,Year 9,Under 15 minutes,Walk,4-5,Physical activity and movement,French,B,Late at night,Independently,Focus closer to the assessment date,All equally useful,3–4 hours,6–10 hours,No,Rarely,School work,Very comfortable,No,7-8 hours,Late at night,5-6,Rugby;Cricket;Basketball;,5-6,Sport,Demonstration/example,Ask a friend,Very organised,Start immediately,Some structure,Group projects,Batson Quad,Sport,Athletics Carnival,No,Dogs,Rock,Quiet background noise,1,Banana,Year 9
135,2/27/26 10:43:26,2/27/26 10:48:24,anonymous,,,Year 9,More than 60 minutes,Bus,4-5,Physical activity and movement,Not studying a language,B,After school,Independently,Focus closer to the assessment date,All equally useful,3–4 hours,6–10 hours,Not sure,Rarely,Communication,Very comfortable,No,7-8 hours,After school,7,Basketball;Football;,7+,Sport,Verbal explanation,Keep trying independently,Neutral,Start immediately,Balanced,Group projects,Oval,Sport,Athletics Carnival,Yes,Dogs,Rap/Hip-hop,Music,1,Strawberry,Year 9
136,2/27/26 10:40:31,2/27/26 10:48:30,anonymous,,,Year 9,More than 60 minutes,Tram/Train,4-5,Problem-solving and calculations,Not studying a language,A+,After school,Independently,Prepare gradually,Practice questions,3–4 hours,0–5 hours,Yes,Sometimes,Communication,Very comfortable,No,8-9 hours,After school,3-4,Cricket;Hockey;Cycling;,5-6,Sport,Demonstration/example,Keep trying independently,Neutral,Start immediately,Balanced,Depends on the task,Oval,Sport,Athletics Carnival,No,Dogs,Rap/Hip-hop,Complete silence,3,Strawberry,Year 9
137,2/27/26 10:43:19,2/27/26 10:48:35,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Experiments and investigations,Chinese,A,After school,Independently,Focus closer to the assessment date,All equally useful,0–2 hours,6–10 hours,No,Sometimes,School work,Comfortable,Yes,7-8 hours,After school,1-2,Badminton;Table Tennis;Tennis;,5-6,Gaming,Demonstration/example,Take a break and return later,Neutral,Start early,Flexible,Depends on the task,Library,Music,None,Yes,Cats,Other,Quiet background noise,2,Strawberry,Year 9
138,2/27/26 10:42:56,2/27/26 10:48:40,anonymous,,,Year 9,15–30 minutes,Bus,4-5,Business and real-world applications,Chinese,A,After school,Independently,Do a quick review before the assessment,Practice questions,3–4 hours,11–20 hours,No,Rarely,School work,Neutral,No,8-9 hours,During school,3-4,Tennis;,3-4,Sport,Figure it out myself,Ask a friend,Very organised,Start immediately,Balanced,Group projects,Library,Sport,HPAF,No,Dogs,Other,Complete silence,2,Banana,Year 9
139,2/27/26 10:42:28,2/27/26 10:48:41,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Physical activity and movement,French,A+,Late at night,Independently,Do a quick review before the assessment,Practice questions,0–2 hours,21–35 hours,No,Sometimes,Entertainment,Comfortable,No,6-7 hours,During school,7,Cricket;Soccer;,7+,Sport,Video,Search online,Neutral,Start early,Balanced,Group projects,Oval,Sport,Athletics Carnival,Yes,Dogs,Pop,Music,1,Strawberry,Year 9
140,2/27/26 10:44:09,2/27/26 10:48:44,anonymous,,,Year 9,15–30 minutes,Walk,4-5,Problem-solving and calculations,Not studying a language,A,After school,Independently,Focus closer to the assessment date,Practice questions,3–4 hours,21–35 hours,Yes,Sometimes,School work,Neutral,No,9+ hours,During school,7,Cricket;Soccer;Tennis;,7+,Sport,Verbal explanation,Search online,Very organised,Start early,Some structure,Group projects,Senior School Quad,Sport,None,Yes,Dogs,Rap/Hip-hop,Complete silence,1,Strawberry,Year 9
141,2/27/26 10:40:33,2/27/26 10:48:47,anonymous,,,Year 9,31–60 minutes,Car,4-5,Business and real-world applications,Latin,B,After school,Independently,Prepare gradually,All equally useful,3–4 hours,11–20 hours,No,Sometimes,School work,Comfortable,No,7-8 hours,During school,3-4,Basketball;,1-2,Gaming,Figure it out myself,Search online,Somewhat organised,Start immediately,Very flexible,Group projects,Library,Clubs/Societies,HPAF,Yes,Dogs,Other,Music,2,Banana,Year 9
142,2/27/26 10:41:47,2/27/26 10:49:02,anonymous,,,Year 9,31–60 minutes,Car,1-3,Experiments and investigations,Chinese,B,After school,Independently,Do a quick review before the assessment,Practice questions,3–4 hours,6–10 hours,Yes,Sometimes,Entertainment,Neutral,No,8-9 hours,During school,3-4,Soccer;Tennis;,1-2,Family time,Demonstration/example,Search online,Somewhat organised,Start halfway,Flexible,Group projects,Oval,Sport,HPAF,No,Dogs,Rock,Music,3,Strawberry,Year 9
143,2/27/26 10:44:50,2/27/26 10:49:10,anonymous,,,Year 9,31–60 minutes,Tram/Train,4-5,Business and real-world applications,French,B,Late at night,Independently,Prepare gradually,Practice questions,3–4 hours,0–5 hours,Yes,Rarely,Communication,Comfortable,No,6-7 hours,During school,5-6,Basketball;Tennis;Rowing;,3-4,Sport,Written steps,Ask a friend,Somewhat organised,Start early,Balanced,Group projects,Gym,Sport,Swimming,Yes,Dogs,Rap/Hip-hop,Music,2,Strawberry,Year 7
144,2/27/26 10:43:31,2/27/26 10:49:12,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Physical activity and movement,Chinese,A,After school,Independently,Prepare gradually,Practice questions,3–4 hours,0–5 hours,Not sure,Sometimes,Gaming,Neutral,Not sure,7-8 hours,During school,5-6,Tennis;Soccer;,0,Studying,Demonstration/example,Ask a teacher,Neutral,Start halfway,Balanced,Depends on the task,Oval,Sport,None,Yes,Dogs,R&B,Complete silence,2,Strawberry,Year 9
145,2/27/26 10:39:59,2/27/26 10:49:14,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Problem-solving and calculations,French,A+,During school,With friends,Do a quick review before the assessment,Practice questions,0–2 hours,11–20 hours,Yes,Rarely,Entertainment,Very comfortable,No,8-9 hours,During school,5-6,Soccer;Tennis;,3-4,Sport,Figure it out myself,Keep trying independently,Somewhat organised,Start early,Some structure,Depends on the task,Library,Music,Athletics Carnival,No,Dogs,Other,Quiet background noise,3,Banana,Year 9
146,2/27/26 10:41:45,2/27/26 10:49:18,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Physical activity and movement,French,A,After school,Independently,Do a quick review before the assessment,Practice questions,0–2 hours,21–35 hours,Yes,Often,Entertainment,Comfortable,Yes,8-9 hours,Late at night,7,Rowing;Fencing;,3-4,Sport,Video,Ask a friend,Somewhat organised,Start halfway,Flexible,Group projects,Clubs/Activities,Sport,None,No,Dogs,Rap/Hip-hop,Music,2,Strawberry,Year 9
147,2/27/26 10:42:20,2/27/26 10:49:25,anonymous,,,Year 9,31–60 minutes,Tram/Train,4-5,Problem-solving and calculations,German,A+,After school,Independently,Start early and plan,All equally useful,0–2 hours,6–10 hours,Not sure,Sometimes,School work,Very comfortable,No,8-9 hours,During school,5-6,Competitive Swimming;Hockey;,7+,Gaming,Verbal explanation,Search online,Very organised,Start halfway,Balanced,Depends on the task,Senior School Quad,Sport,Swimming,Yes,Dogs,Rap/Hip-hop,Quiet background noise,1,Strawberry,Year 9
148,2/27/26 10:41:55,2/27/26 10:49:29,anonymous,,,Year 9,15–30 minutes,Car,6-7,Technology and coding,Chinese,B,Late at night,Independently,Do a quick review before the assessment,Revision summaries,0–2 hours,36+ hours,Yes,Often,Gaming,Comfortable,Not sure,8-9 hours,Late at night,7,Basketball;Tennis;Table Tennis;Badminton;,3-4,Socialising,Demonstration/example,Search online,Neutral,Start close to the deadline,Balanced,Depends on the task,Library,Sport,HPAF,Yes,Cats,Other,Music,2,Banana,Year 9
149,2/27/26 10:42:47,2/27/26 10:49:31,anonymous,,,Year 9,15–30 minutes,Car,4-5,Problem-solving and calculations,Chinese,A,Late at night,Independently,Focus closer to the assessment date,All equally useful,0–2 hours,11–20 hours,No,Rarely,Communication,Very comfortable,No,6-7 hours,Late at night,5-6,Soccer;Tennis;,3-4,Creative hobbies,Figure it out myself,Ask a friend,Somewhat organised,Start halfway,Some structure,Depends on the task,Library,Sport,HPAF,Yes,Cats,Rap/Hip-hop,Music,1,Banana,Year 9
150,2/27/26 10:48:43,2/27/26 10:49:32,anonymous,,,Year 9,15–30 minutes,Car,4-5,Physical activity and movement,Chinese,B,After school,Independently,Focus closer to the assessment date,Revision summaries,5–6 hours,36+ hours,No,Sometimes,Gaming,Comfortable,No,8-9 hours,After school,3-4,Basketball;Football;,0,Gaming,Demonstration/example,Ask a friend,Somewhat organised,Start immediately,Flexible,Depends on the task,Clubs/Activities,Sport,Swimming,Yes,Dogs,Pop,Music,1,Banana,Year 9
151,2/27/26 10:45:27,2/27/26 10:49:40,anonymous,,,Year 9,15–30 minutes,Tram/Train,1-3,Problem-solving and calculations,Not studying a language,B,During school,With a tutor/teacher,Prepare gradually,All equally useful,3–4 hours,0–5 hours,No,Sometimes,Entertainment,Neutral,No,9+ hours,After school,1-2,Basketball;,1-2,Sport,Written steps,Take a break and return later,Neutral,Start immediately,Balanced,Group projects,Library,Sport,HPAF,No,Dogs,Rock,Quiet background noise,1,Strawberry,Year 9
152,2/27/26 10:45:38,2/27/26 10:49:41,anonymous,,,Year 9,15–30 minutes,Bus,1-3,Problem-solving and calculations,Latin,A,After school,Independently,Prepare gradually,Practice questions,0–2 hours,0–5 hours,No,Sometimes,Communication,Neutral,No,7-8 hours,During school,5-6,Cricket;Soccer;,7+,Sport,Demonstration/example,Keep trying independently,Somewhat organised,Start immediately,Balanced,Solo work,Oval,Sport,Athletics Carnival,No,Dogs,Pop,Complete silence,2,Strawberry,Year 9
153,2/27/26 10:42:51,2/27/26 10:49:41,anonymous,,,Year 9,15–30 minutes,Car,4-5,Experiments and investigations,French,B,Late at night,Independently,Focus closer to the assessment date,Practice questions,0–2 hours,21–35 hours,No,Sometimes,School work,Comfortable,No,6-7 hours,Late at night,3-4,Tennis;,1-2,Gaming,Demonstration/example,Search online,Somewhat organised,Start halfway,Flexible,Group projects,Library,Sport,HPAF,Yes,Dogs,Other,Music,1,Strawberry,Year 9
154,2/27/26 10:40:43,2/27/26 10:49:53,anonymous,,,Year 9,31–60 minutes,Car,4-5,Experiments and investigations,French,B,After school,With friends,Start early and plan,All equally useful,3–4 hours,36+ hours,Yes,Sometimes,School work,Neutral,No,7-8 hours,During school,1-2,Archery;,0,Gaming,Written steps,Ask a friend,Somewhat organised,Start immediately,Balanced,Depends on the task,Senior School Quad,Sport,HPAF,Yes,Dogs,Other,Complete silence,3,Strawberry,Year 9
155,2/27/26 10:42:55,2/27/26 10:49:56,anonymous,,,Year 9,31–60 minutes,Bus,4-5,Physical activity and movement,Not studying a language,B,After school,Independently,Do a quick review before the assessment,Project-based tasks,3–4 hours,36+ hours,Not sure,Very often,Social media,Neutral,Not sure,7-8 hours,Before school,7,Basketball;,0,Sport,Video,Search online,Somewhat organised,Start early,Balanced,Depends on the task,Senior School Quad,Sport,Athletics Carnival,No,Dogs,Rap/Hip-hop,Complete silence,1,Strawberry,Year 9
156,2/27/26 10:43:58,2/27/26 10:49:58,anonymous,,,Year 9,15–30 minutes,Car,4-5,Problem-solving and calculations,Chinese,A,Late at night,Independently,Prepare gradually,All equally useful,3–4 hours,21–35 hours,Yes,Sometimes,School work,Comfortable,Not sure,7-8 hours,During school,3-4,Tennis;,1-2,Gaming,Written steps,Take a break and return later,Somewhat organised,Start early,Balanced,Solo work,Library,Sport,Athletics Carnival,Yes,Cats,Pop,Quiet background noise,1,Strawberry,Year 9
157,2/27/26 10:42:57,2/27/26 10:50:06,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Technology and coding,Chinese,A,After school,Independently,Prepare gradually,Revision summaries,0–2 hours,6–10 hours,No,Sometimes,Communication,Very comfortable,Yes,8-9 hours,During school,3-4,Soccer;Tennis;,5-6,Socialising,Demonstration/example,Ask a teacher,Somewhat organised,Start early,Balanced,Group projects,Senior School Quad,Sport,Athletics Carnival,No,Dogs,Rap/Hip-hop,Quiet background noise,1,Banana,Year 9
158,2/27/26 10:44:24,2/27/26 10:50:14,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Physical activity and movement,Latin,A,Before school,Independently,Start early and plan,All equally useful,3–4 hours,21–35 hours,Yes,Sometimes,School work,Comfortable,No,7-8 hours,Late at night,5-6,Basketball;Football;,1-2,Gaming,Written steps,Ask a teacher,Very organised,Start early,Strong structure,Group projects,Senior School Quad,Sport,None,Yes,Dogs,K-pop,Music,1,Banana,Year 9
159,2/27/26 10:42:19,2/27/26 10:50:18,anonymous,,,Year 9,15–30 minutes,Car,4-5,Experiments and investigations,Chinese,A,Late at night,Independently,Do a quick review before the assessment,Practice questions,3–4 hours,11–20 hours,Not sure,Very often,School work,Comfortable,No,7-8 hours,During school,1-2,Volleyball;Table Tennis;Badminton;,1-2,Family time,Video,Take a break and return later,Very organised,Start close to the deadline,Flexible,Group projects,Library,Sport,None,Yes,Cats,K-pop,Complete silence,3,Banana,Year 9
160,2/27/26 10:39:38,2/27/26 10:50:33,anonymous,,,Year 9,Under 15 minutes,Car,6-7,Reading and writing,German,A,After school,Independently,Prepare gradually,All equally useful,0–2 hours,6–10 hours,Yes,Sometimes,School work,Neutral,No,6-7 hours,During school,5-6,Rowing;,3-4,Studying,Demonstration/example,Keep trying independently,Somewhat organised,Start early,Strong structure,Depends on the task,Library,Clubs/Societies,None,Yes,Dogs,Other,Complete silence,2,Strawberry,Year 9
